ID,Exercise,Short,Delta,rho,theta,Laterality,Type,Note
P10.3,Klokov Press,klokov,0.7,0.0,0.0,Bilateral,Barbell,
P11.0,Z Press,zpress,0.7,0.0,0.0,Bilateral,Barbell,
P11.1,Seated Overhead Press (Barbell),,0.7,0.0,0.0,Bilateral,Barbell,
P11.2,Seated Reverse Press,,0.7,0.0,0.0,Bilateral,Barbell,
P12.0,Unilateral Overhead Press,kbp,0.7,0.0,0.0,Bilateral,Kettlebell,
P12.1,Unilateral Reverse Dumbbell Press,,0.7,0.0,0.0,Unilateral,Dumbell,
P12.2,Military Press (Dumbbell),,0.7,0.0,0.0,Bilateral,Dumbell,
P13.0,Shoulder Press (Plate Loaded),,0.7,0.0,0.0,Bilateral,Barbell,
P20,Dips,dp,0.4,1.0,0.4,Bilateral,Bodyweight,
P21,Ring Dips,rdips,0.4,1.0,0.4,Bilateral,Bodyweight,
P30,Kneeling Landmine Press,,0.4,0.0,0.0,Unilateral,Barbell,
S00,Squat,sq,0.65,1.0,0.65,Bilateral,Barbell,measured with picture
S00.2,Pin Squat (Top Half),,0.3,1.0,0.3,Bilateral,Barbell,
S00.4,Pin Squat (Top Quarter),,0.2,1.0,0.2,Bilateral,Barbell,
S01,High Bar Squat,,0.7,1.0,0.7,Bilateral,Barbell,
S02,Jump Squat,,1.1,1.0,1.1,Bilateral,Bodyweight,
S02.1,Box Jump,box,1.2,1.0,1.2,Bilateral,Bodyweight,
S03,Pistol Squat,pistol,0.7,1.0,0.7,Bilateral,Bodyweight,remember to double
S10,Front Squat,fsq,0.7,1.0,0.7,Bilateral,Barbell,measured by hand
S11,Zercher Squat (Barbell),zsq,0.7,1.0,0.7,Bilateral,Barbell,
S12.0,Squat (Bodyweight),bwsq,0.65,1.0,0.65,Bilateral,Bodyweight,
S12.1,Goblet Squat,,0.7,1.0,0.7,Bilateral,Dumbell,
S13,Safety Bar Squat,ssb,0.7,1.0,0.7,Bilateral,Barbell,
S20,Overhead Squat,osq,0.6,1.0,0.6,Bilateral,Barbell,
S30,Step-up,,0.2,1.0,0.2,Unilateral,Bodyweight,
S31,Bulgarian Split Squat,,0.5,1.0,0.5,Unilateral,Barbell,
S32,Reverse Lunge (Dumbbells),,0.4,1.0,0.4,Bilateral,Dumbell,
S40,Leg Press,,0.5,0.2,0.5,Bilateral,Other,
S41,Hack Squat,,0.65,1.0,0.65,Bilateral,Barbell,
T03,Lat Pulldown (Single Arm),,0.6,0.0,0.0,Unilateral,Other,
T00,Chin Up,cp,0.7,1.0,0.7,Bilateral,Bodyweight,measured by hand
T00.01,Chin Up (Assisted),,0.7,1.0,0.7,Bilateral,Bodyweight,
T00.02,Wide Pull Up,,0.7,1.0,0.7,Bilateral,Bodyweight,
T00.1,Pull Up,,0.7,1.0,0.7,Bilateral,Bodyweight,
T01.1,One Arm Chin Up (assisted),oac_a,0.7,1.0,0.7,Unilateral,Bodyweight,
T01.2,One Arm Chinup (Eccentric),oac_e,0.7,1.0,0.7,Bilateral,Bodyweight,
T02,Rope Climb (legless),rope,1.5,1.0,1.5,Bilateral,Bodyweight,
T10.0,Inverted Row (Bodyweight),,0.7,0.6,0.7,Bilateral,Bodyweight,
T10.0,Australian Pull Up,,0.7,0.6,0.7,Bilateral,Bodyweight,
T10.1,Hanging Inverted Row,,0.7,1.0,0.7,Bilateral,Bodyweight,
T11.0,Bent Over Row,row,0.5,0.8,0.1,Bilateral,Barbell,
T11.1,Pendlay Row,pendlay,0.6,0.5,0.2,Bilateral,Barbell,
T11.2,Rack Row,,0.35,0.5,0.2,Bilateral,Barbell,
T11.3,T Bar Row,,0.6,0.0,0.0,Bilateral,Barbell,
T12.4,Seated Cable Row,,0.7,0.0,0.0,Bilateral,Machine,
T12.5,Kroc Row,kr,0.6,0.0,0.0,Bilateral,Dumbell,
T12.51,Unilateral T-Bar Row,,0.6,0.0,0.0,Unilateral,Barbell,
T13,Chest Supported T-Bar Row,,0.6,0.0,0.0,Bilateral,Barbell,
T20,Deadlift High Pull (Barbell),high,1.2,0.8,0.45,Bilateral,Barbell,
T20.1,Power Clean,power,1.6,0.8,0.45,Bilateral,Barbell,
T20.2,Hang Clean (Barbell),,1.4,0.8,0.65,Bilateral,Barbell,
T21.0,Rack Pull (Barbell),rk,0.15,1.0,0.2,Bilateral,Barbell,
T21.0,Rack Pull (18''),rk18,0.3,0.5,0.35,Bilateral,Barbell,
T22.0,Shrug (Barbell),shr,0.15,0.0,0.0,Bilateral,Barbell,
T22.1,Shrug (Dumbbell),,0.15,0.0,0.0,Bilateral,Dumbell,
T23.0,Upright Row (Barbell),,0.5,0.0,0.0,Bilateral,Barbell,
T23.1,Karwoski Rows,karwoski,0.3,0.0,0.0,Bilateral,Barbell,
T30.1,Band Face Pulls,bfp,0.5,0.0,0.0,Bilateral,Barbell,
U00.0,Bicep Curl (Barbell),cu,0.6,0.0,0.0,Bilateral,Barbell,
U00.1,Bicep Curl (Dumbbell),,0.6,0.0,0.0,Unilateral,Dumbell,
U00.2,Concentration Curl (Dumbbell),,0.6,0.0,0.0,Unilateral,Dumbell,
U00.3,Radial Deviation Curl,,0.6,0.0,0.0,Unilateral,Dumbell,
U00.4,Supination Curl,,0.6,0.0,0.0,Bilateral,Barbell,
U00.5,Preacher Curl (Barbell),,0.6,0.0,0.0,Bilateral,Barbell,
U01.0,Reverse Curl (Barbell),rcurl,0.6,0.0,0.0,Bilateral,Barbell,
U01.1,Pronation Curl,,0.6,0.0,0.0,Unilateral,Barbell,
U01.2,Reverse Curl (Dumbbell),,0.6,0.0,0.0,Bilateral,Dumbell,
U02.0,Hammer Curl (Dumbbell),,0.6,0.0,0.0,Unilateral,Dumbell,
U02.1,Hammer Curl (towel),,0.6,0.0,0.0,Unilateral,Dumbell,
U10,Skullcrusher (Barbell),,0.7,0.0,0.0,Bilateral,Barbell,
U11,Tricep Pushdown,,0.6,0.0,0.0,Bilateral,Other,
U11.1,Triceps Pushdown (Cable - Straight Bar),,0.4,0.0,0.0,Unilateral,Other,
U12,Triceps Extension (Dumbbell),,0.6,0.0,0.0,Bilateral,Dumbell,
U20,Lateral Raise (Dumbbell),,0.5,0.0,0.0,Unilateral,Dumbell,
U21,Upper Chest Raise,,0.5,0.0,0.0,Unilateral,Other,
X00,Clean and Jerk (Barbell),,2.1,1.0,0.65,Bilateral,Barbell,
X01.0,Snatch (Barbell),snatch,2.1,1.0,0.65,Bilateral,Barbell,
X01.01,Power Snatch (Barbell),psnatch,1.8,1.0,0.65,Bilateral,Barbell,
X01.1,Kettlebell Snatch,kbsn,1.7,1.0,0.65,Unilateral,Kettlebell,
X01.2,Dumbbell Snatch,,1.7,1.0,0.65,Bilateral,Dumbell,
X02,Thruster (Barbell),thruster,1.3,0.2,0.6,Bilateral,Barbell,
X10,Kettlebell Turkish Get Up,tgu,2.3,1.0,1.0,Unilateral,Kettlebell,
X11,Burpee,burpee,1.1,1.0,1.1,Bilateral,Bodyweight,
X12,Tactical Stand Up,tactical,1.0,1.0,1.0,Bilateral,Bodyweight,
