ID,Exercise,Short,Delta,rho,theta,Laterality,Type,Note
C00.0,Crunch,crunch,0.2,0.2,0.2,Bilateral,Bodyweight,
C00.1,Sit Up,situp,0.3,0.5,0.3,Bilateral,Bodyweight,
C01.0,Hanging Leg Raise,legraise,1.0,0.5,1.0,Bilateral,Bodyweight,
C01.10,Hanging Knee Raise,knee,0.5,0.5,0.5,Bilateral,Bodyweight,
C01.11,Captain Knee Raise,cknee,0.5,0.5,0.5,Bilateral,Bodyweight,
C02.0,Reverse Crunch,rcrunch,0.2,0.4,0.2,Bilateral,Bodyweight,
C02.1,Dragon Flag,dragon,0.3,0.5,0.3,Bilateral,Bodyweight,
C02.2,Jackknife Sit Up,jack,0.3,0.5,0.3,Bilateral,Bodyweight,
C00.3,Ab Wheel (Full),abwheel,0.6,0.5,0.6,Bilateral,Bodyweight,
C03.1,Ab Wheel (Kneeling),kabwheel,0.6,0.5,0.6,Bilateral,Bodyweight,
C04.0,Russian Twist (Weighted),russian,0.02,0.0,0.0,Bilateral,Bodyweight,
C04.1,Cable Twist,,0.6,0.0,0.0,Bilateral,Bodyweight,
C05.0,Side Crunch,,0.2,0.2,0.2,Bilateral,Bodyweight,
C05.1,Side Bend (Dumbell),,0.2,0.0,0.0,Bilateral,Dumbell,
C06.0,L-sit,lsit,0.02,1.0,0.02,Bilateral,Time,
C06.1,L-sit (Fingertip),,0.01,1.0,0.01,Bilateral,Time,
C07.1,Halo,,0.8,0.0,0.0,Bilateral,Dumbell,
C07.2,Knees to Elbows,,1.0,0.5,1.0,Bilateral,Bodyweight,
C10.00,Back Extension,,0.1,0.5,0.1,Bilateral,Bodyweight,
C11.0,Superman,,0.01,0.5,0.01,Bilateral,Time,
C11.1,Reverse Plank,,0.01,0.5,0.01,Bilateral,Time,
C12.00,Zercher Hold,zhold,0.02,0.0,0.0,Bilateral,Barbell,
C20.0,Neck Curl (Bench),,0.2,0.0,0.0,Bilateral,Other,
C20.0,Lying Neck Curl,,0.2,0.0,0.0,Bilateral,Other,
C20.1,Lying Neck Hold (Barbell),,0.2,0.0,0.0,Bilateral,Other,
C21.0,Neck Extension (Harness),,0.2,0.0,0.0,Bilateral,Other,
C21.1,Neutral Bridge Hold,,0.01,0.5,0.01,Bilateral,Time,
C21.2,Harness Neck Hold (Barbell),,0.01,0.0,0.0,Bilateral,Barbell,
C30.0,RTO Hold,,0.01,1.0,0.01,Bilateral,Time,
G00.0,Barbell Support,support,0.01,0.0,0.0,Bilateral,Barbell,
G00.1,Farmer Carry,carry,0.03,0.0,0.0,Bilateral,Dumbell,
G01.0,Bar Hang,hang,0.01,1.0,0.01,Bilateral,Time,
G10.0,Barbell Crush,,0.1,0.0,0.0,Bilateral,Barbell,
G10.1,Dumbell Crush,,0.1,0.0,0.0,Bilateral,Dumbell,
G11.0,Finger Pull Up (Crush Grip),,0.7,1.0,0.7,Bilateral,Bodyweight,
G20.0,Block Pinch Hold,,0.01,0.0,0.0,Bilateral,Time,travel by second (hold)
G20.1,Unilateral Block Pinch Hold,,0.01,0.0,0.0,Bilateral,Time,
G21.0,Fingertip Hold,,0.01,0.63,0.01,Bilateral,Time,
G31.0,Wrist Curl,,0.1,0.0,0.0,Bilateral,Dumbell,
G31.1,Unilateral Wrist Curl,,0.1,0.0,0.0,Unilateral,Dumbell,
G32.0,Reverse Wrist Curl,rwcurl,0.1,0.0,0.0,Bilateral,Dumbell,
G32.1,Unilateral Reverse Wrist Curl,,0.1,0.0,0.0,Bilateral,Dumbell,
G30.0,Wrist Roller,,0.01,0.0,0.0,Bilateral,Time,
G33.0,Sledegehammer Radial Deviation,,0.4,0.0,0.0,Unilateral,Other,
H00.0,Deadlift,dl,0.6,0.8,0.45,Bilateral,Barbell,measured with picture
H00.1,Sumo Deadlift,sumo,0.55,0.8,0.5,Bilateral,Barbell,
H01.0,Romanian Deadlift,rdl,0.65,0.8,0.4,Bilateral,Barbell,à la louche
H01.1,Single Leg Romanian Deadlift,,0.6,0.8,0.4,Unilateral,Dumbell,
H02.0,Trap Bar Deadlift,trap,0.6,0.8,0.4,Bilateral,Barbell,
H03.0,Deficit Deadlift,,0.7,0.8,0.55,Bilateral,Barbell,
H03.1,Snatch Grip Deadlift,sdl,0.7,0.8,0.5,Bilateral,Barbell,more travel than DL
H10.0,Hip Thrust (Barbell),,0.4,0.2,0.4,Bilateral,Barbell,
H10.1,Hip Thrust (Bodyweight),,0.4,0.2,0.4,Bilateral,Bodyweight,
H11.0,Glute Bridge,bridge,0.02,0.3,0.01,Bilateral,Barbell,
H20.0,Kettlebell Swing,kbs,0.7,1.0,0.4,Bilateral,Kettlebell,weight distance relative to ground
H20.01,Unilateral Kettlebell Swing,ukbs,0.7,0.8,0.4,Unilateral,Kettlebell,
H30.0,Good Morning,gm,0.6,0.8,0.4,Bilateral,Barbell,à la louche
H30.1,Zercher Goodmorning,zgm,0.6,0.8,0.4,Bilateral,Barbell,
H31.0,Reverse Hyper,,0.7,0.4,0.3,Bilateral,Bodyweight,
L00.0,Leg Extension (Machine),,0.5,0.0,0.0,Unilateral,Other,
L10.0,Seated Leg Curl (Machine),,0.5,0.0,0.0,Unilateral,Other,
L10.1,Leg Curl ,legcurl,0.5,0.0,0.0,Bilateral,Other,
L11.1,Nordic Hamstring Curl (Eccentric),,0.5,0.7,0.5,Bilateral,Bodyweight,
L11.2,Nordic Hamstring Curl (Assisted),,0.5,0.7,0.5,Bilateral,Bodyweight,minus assistance
L20.0,Unilateral Calf Raise (Dumbell),,0.1,1.0,0.1,Bilateral,Dumbell,
L20.1,Unilateral Calf Raise (Belt),,0.1,1.0,0.1,Unilateral,Other,
L21.0,Sitting Calf Raise,,0.1,0.0,0.0,Bilateral,Barbell,
P00.00,Push Up,pu,0.6,0.63,0.6,Bilateral,Bodyweight,
P00.09,A9,,0.6,0.63,0.6,Bilateral,Bodyweight,
P00.1,One Arm Push Up,oap,0.6,0.6,0.6,Unilateral,Bodyweight,
P00.2,Ring Push Up,ring_pu,0.7,0.5,0.7,Bilateral,Bodyweight,
P01.00,Bench Press,bp,0.5,0.0,0.0,Bilateral,Barbell,measured by hand
P01.01,Close Grip Bench Press,cgbp,0.5,0.0,0.0,Bilateral,Barbell,
P01.1,Floor Press (Barbell),,0.3,0.0,0.0,Bilateral,Bodyweight,
P01.10,Pin Bench (Top Half),,0.2,0.0,0.0,Bilateral,Barbell,
P01.2,Bench Press (Dumbbell),,0.6,0.0,0.0,Bilateral,Dumbell,
P10.0,Military Press,mp,0.7,0.0,0.0,Bilateral,Barbell,measured by hand
P10.1,Reverse Overhead Press,,0.7,0.0,0.0,Bilateral,Barbell,
P10.2,Push Press,pp,0.7,0.0,0.0,Bilateral,Barbell,
